State,2014,2013,2012,2011,2010
ARIZONA,5720000,5403000,5313000,5283000,5245000
FLORIDA,16338000,15392000,15195000,14841000,14593000
ILLINOIS,11464000,11086000,11076000,11029000,10928000
IOWA,2874000,2798000,2775000,2748000,2725000
KENTUCKY,3962000,3696000,3697000,3666000,3596000
MARYLAND,5423000,5241000,5191000,5138000,5047000
MINNESOTA,5081000,4923000,4895000,4819000,4776000
NEBRASKA,1674000,1632000,1621000,1607000,1594000
NORTH CAROLINA,8476000,8136000,7970000,7916000,7791000
SOUTH CAROLINA,4092000,3939000,3845000,3813000,3742000
TENNESSEE,5672000,5508000,5473000,5380000,5361000
VERMONT,590000,576000,580000,579000,570000
