State,2014,2013,2012,2011,2010
ARIZONA,903000,1118000,1131000,1095000,1065000
FLORIDA,3245000,3853000,3816000,3911000,3941000
ILLINOIS,1238000,1618000,1622000,1659000,1746000
IOWA,189000,248000,254000,269000,280000
KENTUCKY,366000,616000,595000,618000,647000
MARYLAND,463000,593000,598000,598000,641000
MINNESOTA,317000,440000,425000,467000,476000
NEBRASKA,179000,209000,206000,207000,208000
NORTH CAROLINA,1276000,1509000,1582000,1545000,1570000
SOUTH CAROLINA,642000,739000,778000,766000,795000
TENNESSEE,776000,887000,882000,923000,899000
VERMONT,31000,45000,40000,41000,50000
