Nation/State,Coverage,2014,2013,2012,2011,2010
ARIZONA,Total,6623,6521,6444,6378,6310
ARIZONA,Any coverage,5720,5403,5313,5283,5245
ARIZONA,Uninsured,903,1118,1131,1095,1065
ARIZONA,Private,4050,3904,3822,3771,3811
ARIZONA,..Employer-based,3191,3135,3102,3076,3091
ARIZONA,..Direct-purchase,868,796,822,783,784
ARIZONA,..TRICARE,214,209,212,206,198
ARIZONA,Public,2427,2242,2199,2221,2158
ARIZONA,..Medicaid,1384,1242,1254,1317,1285
ARIZONA,..Medicare,1163,1111,1057,1012,973
ARIZONA,..VA Care,189,174,173,176,154
FLORIDA,Total,19583,19245,19011,18752,18534
FLORIDA,Any coverage,16338,15392,15195,14841,14593
FLORIDA,Uninsured,3245,3853,3816,3911,3941
FLORIDA,Private,11562,10935,10872,10810,10888
FLORIDA,..Employer-based,8594,8414,8531,8522,8483
FLORIDA,..Direct-purchase,2897,2473,2479,2445,2597
FLORIDA,..TRICARE,698,688,662,653,650
FLORIDA,Public,7105,6733,6576,6243,5974
FLORIDA,..Medicaid,3575,3344,3300,3098,2882
FLORIDA,..Medicare,4084,3923,3793,3638,3527
FLORIDA,..VA Care,571,547,573,545,540
ILLINOIS,Total,12702,12705,12698,12688,12673
ILLINOIS,Any coverage,11464,11086,11076,11029,10928
ILLINOIS,Uninsured,1238,1618,1622,1659,1746
ILLINOIS,Private,8669,8485,8547,8475,8540
ILLINOIS,..Employer-based,7284,7241,7364,7325,7324
ILLINOIS,..Direct-purchase,1614,1481,1529,1462,1549
ILLINOIS,..TRICARE,138,137,156,135,137
ILLINOIS,Public,4128,3935,3868,3842,3705
ILLINOIS,..Medicaid,2445,2301,2274,2295,2180
ILLINOIS,..Medicare,1912,1862,1814,1763,1726
ILLINOIS,..VA Care,214,208,216,206,199
IOWA,Total,3063,3045,3029,3017,3005
IOWA,Any coverage,2874,2798,2775,2748,2725
IOWA,Uninsured,189,248,254,269,280
IOWA,Private,2316,2278,2290,2278,2274
IOWA,..Employer-based,1845,1834,1854,1849,1837
IOWA,..Direct-purchase,527,504,542,527,541
IOWA,..TRICARE,50,48,51,50,49
IOWA,Public,988,946,917,897,886
IOWA,..Medicaid,530,496,483,470,464
IOWA,..Medicare,523,516,505,491,483
IOWA,..VA Care,79,82,81,82,77
KENTUCKY,Total,4329,4312,4293,4284,4243
KENTUCKY,Any coverage,3962,3696,3697,3666,3596
KENTUCKY,Uninsured,366,616,595,618,647
KENTUCKY,Private,2826,2769,2768,2745,2724
KENTUCKY,..Employer-based,2325,2329,2330,2315,2272
KENTUCKY,..Direct-purchase,539,494,512,515,527
KENTUCKY,..TRICARE,120,118,128,115,113
KENTUCKY,Public,1701,1454,1435,1431,1383
KENTUCKY,..Medicaid,1030,790,801,809,786
KENTUCKY,..Medicare,802,770,751,742,711
KENTUCKY,..VA Care,113,123,119,120,114
