Nation/State,Coverage,2014 Estimate,2013 Estimate,2012 Estimate,2011 Estimate,2010 Estimate
ARIZONA,Total,"6,623","6,521","6,444","6,378","6,310"
ARIZONA,Any coverage,"5,720","5,403","5,313","5,283","5,245"
ARIZONA,Uninsured,903,"1,118","1,131","1,095","1,065"
ARIZONA,Private,"4,050","3,904","3,822","3,771","3,811"
ARIZONA,..Employer-based,"3,191","3,135","3,102","3,076","3,091"
ARIZONA,..Direct-purchase,868,796,822,783,784
ARIZONA,..TRICARE,214,209,212,206,198
ARIZONA,Public,"2,427","2,242","2,199","2,221","2,158"
ARIZONA,..Medicaid,"1,384","1,242","1,254","1,317","1,285"
ARIZONA,..Medicare,"1,163","1,111","1,057","1,012",973
ARIZONA,..VA Care,189,174,173,176,154
FLORIDA,Total,"19,583","19,245","19,011","18,752","18,534"
FLORIDA,Any coverage,"16,338","15,392","15,195","14,841","14,593"
FLORIDA,Uninsured,"3,245","3,853","3,816","3,911","3,941"
FLORIDA,Private,"11,562","10,935","10,872","10,810","10,888"
FLORIDA,..Employer-based,"8,594","8,414","8,531","8,522","8,483"
FLORIDA,..Direct-purchase,"2,897","2,473","2,479","2,445","2,597"
FLORIDA,..TRICARE,698,688,662,653,650
FLORIDA,Public,"7,105","6,733","6,576","6,243","5,974"
FLORIDA,..Medicaid,"3,575","3,344","3,300","3,098","2,882"
FLORIDA,..Medicare,"4,084","3,923","3,793","3,638","3,527"
FLORIDA,..VA Care,571,547,573,545,540
ILLINOIS,Total,"12,702","12,705","12,698","12,688","12,673"
ILLINOIS,Any coverage,"11,464","11,086","11,076","11,029","10,928"
ILLINOIS,Uninsured,"1,238","1,618","1,622","1,659","1,746"
ILLINOIS,Private,"8,669","8,485","8,547","8,475","8,540"
ILLINOIS,..Employer-based,"7,284","7,241","7,364","7,325","7,324"
ILLINOIS,..Direct-purchase,"1,614","1,481","1,529","1,462","1,549"
ILLINOIS,..TRICARE,138,137,156,135,137
ILLINOIS,Public,"4,128","3,935","3,868","3,842","3,705"
ILLINOIS,..Medicaid,"2,445","2,301","2,274","2,295","2,180"
ILLINOIS,..Medicare,"1,912","1,862","1,814","1,763","1,726"
ILLINOIS,..VA Care,214,208,216,206,199
IOWA,Total,"3,063","3,045","3,029","3,017","3,005"
IOWA,Any coverage,"2,874","2,798","2,775","2,748","2,725"
IOWA,Uninsured,189,248,254,269,280
IOWA,Private,"2,316","2,278","2,290","2,278","2,274"
IOWA,..Employer-based,"1,845","1,834","1,854","1,849","1,837"
IOWA,..Direct-purchase,527,504,542,527,541
IOWA,..TRICARE,50,48,51,50,49
IOWA,Public,988,946,917,897,886
IOWA,..Medicaid,530,496,483,470,464
IOWA,..Medicare,523,516,505,491,483
IOWA,..VA Care,79,82,81,82,77
KENTUCKY,Total,"4,329","4,312","4,293","4,284","4,243"
KENTUCKY,Any coverage,"3,962","3,696","3,697","3,666","3,596"
